sep=,
DeviceTag:,Xsens_DOT_02
FirmwareVersion:,1.4.0
AppVersion:,2020.2.2
Measurement Mode:,Sensor fusion Mode - Orientation(Quaternion)
StartTime: ,2020-11-04_15:24:03_812 CET
© Xsens Technologies B. V. 2005-2020

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
238,2480510087,0.490437,0.009032,0.005084,-0.871415
239,2480526754,0.490291,0.009049,0.005083,-0.871497
240,2480543421,0.490279,0.009050,0.005081,-0.871504
241,2480560088,0.490199,0.009051,0.005078,-0.871549
242,2480576755,0.490237,0.009053,0.005082,-0.871527
243,2480593422,0.490186,0.009056,0.005084,-0.871556
244,2480610089,0.490176,0.009060,0.005078,-0.871562
245,2480626756,0.490119,0.009063,0.005076,-0.871594
246,2480643423,0.490201,0.009068,0.005079,-0.871548
247,2480660090,0.490230,0.009066,0.005080,-0.871531
248,2480676757,0.490103,0.009066,0.005081,-0.871603
249,2480693424,0.490112,0.009072,0.005089,-0.871598
250,2480710091,0.490106,0.009069,0.005084,-0.871601
251,2480726758,0.490141,0.009067,0.005090,-0.871581
252,2480743425,0.490597,0.009063,0.005101,-0.871325
253,2480760092,0.490703,0.009056,0.005100,-0.871265
254,2480776759,0.490698,0.009055,0.005093,-0.871268
255,2480793426,0.490666,0.009050,0.005090,-0.871286
256,2480810093,0.490661,0.009054,0.005080,-0.871289
257,2480826760,0.490685,0.009056,0.005071,-0.871275
258,2480843427,0.490624,0.009053,0.005060,-0.871310
259,2480860094,0.490673,0.009049,0.005049,-0.871282
260,2480876761,0.490684,0.009047,0.005050,-0.871276
261,2480893428,0.490677,0.009052,0.005044,-0.871280
262,2480910095,0.490722,0.009051,0.005055,-0.871255
263,2480926762,0.490652,0.009056,0.005054,-0.871294
264,2480943429,0.490542,0.009047,0.005053,-0.871356
265,2480960096,0.490500,0.009049,0.005051,-0.871380
266,2480976763,0.490490,0.009050,0.005046,-0.871385
267,2480993430,0.490462,0.009047,0.005054,-0.871401
268,2481010097,0.490630,0.009053,0.005055,-0.871307
269,2481026764,0.490551,0.009057,0.005058,-0.871351
270,2481043431,0.490571,0.009063,0.005052,-0.871340
271,2481060098,0.490549,0.009066,0.005040,-0.871352
272,2481076765,0.490554,0.009063,0.005047,-0.871349
273,2481093432,0.490629,0.009061,0.005048,-0.871307
274,2481110099,0.490678,0.009057,0.005044,-0.871279
275,2481126766,0.490642,0.009052,0.005038,-0.871300
276,2481143433,0.490608,0.009040,0.005031,-0.871319
277,2481160100,0.490693,0.009035,0.005030,-0.871271
278,2481176767,0.490767,0.009024,0.005022,-0.871230
279,2481193434,0.490778,0.009020,0.005023,-0.871224
280,2481210101,0.490806,0.009024,0.005016,-0.871208
281,2481226768,0.490731,0.009030,0.005023,-0.871250
282,2481243435,0.490754,0.009030,0.005025,-0.871237
283,2481260102,0.490634,0.009031,0.005023,-0.871305
284,2481276769,0.490480,0.009023,0.005014,-0.871392
285,2481293436,0.490604,0.009018,0.005011,-0.871322
286,2481310103,0.490612,0.009014,0.005017,-0.871317
287,2481326770,0.490460,0.009011,0.005020,-0.871403
288,2481343437,0.490589,0.009008,0.005021,-0.871331
289,2481360104,0.490490,0.008997,0.005022,-0.871386
290,2481376771,0.490432,0.009006,0.005011,-0.871419
291,2481393438,0.490447,0.009003,0.005006,-0.871410
292,2481410105,0.490481,0.009001,0.005016,-0.871391
293,2481426772,0.490481,0.008997,0.005015,-0.871391
294,2481443439,0.490468,0.009004,0.005018,-0.871398
295,2481460106,0.490359,0.009012,0.005015,-0.871460
296,2481476773,0.490418,0.009015,0.005013,-0.871427
297,2481493440,0.490245,0.009017,0.005022,-0.871524
298,2481510107,0.490050,0.009013,0.005021,-0.871634
299,2481526774,0.489930,0.009005,0.005015,-0.871701
300,2481543441,0.489942,0.009009,0.005028,-0.871694
301,2481560108,0.489876,0.009008,0.005038,-0.871731
302,2481576775,0.489794,0.009021,0.005043,-0.871777
303,2481593442,0.489935,0.009008,0.005047,-0.871698
304,2481610109,0.489849,0.009013,0.005047,-0.871746
305,2481626776,0.489799,0.009007,0.005042,-0.871774
306,2481643443,0.489865,0.009006,0.005048,-0.871738
307,2481660110,0.489954,0.009022,0.005041,-0.871687
308,2481676777,0.489833,0.009020,0.005051,-0.871755
309,2481693444,0.489897,0.009018,0.005051,-0.871719
310,2481710111,0.489895,0.009014,0.005045,-0.871720
311,2481726778,0.489909,0.009012,0.005031,-0.871713
312,2481743445,0.489879,0.009009,0.005024,-0.871730
313,2481760112,0.489864,0.009006,0.005022,-0.871738
314,2481776779,0.489878,0.009009,0.005021,-0.871731
315,2481793446,0.489868,0.009007,0.005027,-0.871736
316,2481810113,0.489742,0.009013,0.005024,-0.871807
317,2481826780,0.489810,0.009015,0.005026,-0.871769
318,2481843447,0.489897,0.009025,0.005036,-0.871719
319,2481860114,0.489767,0.009028,0.005030,-0.871792
320,2481876781,0.489677,0.009032,0.005012,-0.871843
321,2481893448,0.489665,0.009040,0.005025,-0.871850
322,2481910115,0.489831,0.009036,0.005018,-0.871756
323,2481926782,0.489778,0.009037,0.005023,-0.871786
324,2481943449,0.489662,0.009041,0.005022,-0.871851
325,2481960116,0.489654,0.009034,0.005030,-0.871856
326,2481976783,0.489815,0.009038,0.005043,-0.871765
327,2481993450,0.489872,0.009028,0.005029,-0.871734
328,2482010117,0.489871,0.009025,0.005028,-0.871734
329,2482026784,0.490011,0.009023,0.005032,-0.871655
330,2482043451,0.490159,0.009018,0.005035,-0.871572
331,2482060118,0.490254,0.009019,0.005026,-0.871519
332,2482076785,0.490263,0.009025,0.005019,-0.871514
333,2482093452,0.490229,0.009020,0.005004,-0.871533
334,2482110119,0.490308,0.009016,0.005003,-0.871489
335,2482126786,0.490439,0.009024,0.005007,-0.871415
336,2482143453,0.490447,0.009025,0.005009,-0.871410
337,2482160120,0.490519,0.009021,0.005009,-0.871370
338,2482176787,0.490620,0.009023,0.005010,-0.871313
339,2482193454,0.490771,0.009021,0.005006,-0.871228
340,2482210121,0.490989,0.009024,0.005015,-0.871105
341,2482226788,0.490999,0.009018,0.005016,-0.871100
342,2482243455,0.491028,0.009014,0.005006,-0.871083
343,2482260122,0.491153,0.009016,0.004991,-0.871013
344,2482276789,0.491165,0.009008,0.005007,-0.871006
345,2482293456,0.490896,0.009014,0.005010,-0.871157
346,2482310123,0.490837,0.009015,0.005007,-0.871191
347,2482326790,0.490814,0.009019,0.005013,-0.871203
348,2482343457,0.490869,0.009013,0.005014,-0.871173
349,2482360124,0.490817,0.009012,0.005008,-0.871202
350,2482376791,0.490814,0.009009,0.005003,-0.871204
351,2482393458,0.490804,0.009016,0.005004,-0.871209
352,2482410125,0.490820,0.009038,0.004999,-0.871200
353,2482426792,0.490891,0.009034,0.004992,-0.871160
354,2482443459,0.490891,0.009040,0.004989,-0.871160
355,2482460126,0.490841,0.009034,0.005000,-0.871188
356,2482476793,0.490866,0.009028,0.005002,-0.871174
357,2482493460,0.490903,0.009016,0.005066,-0.871153
358,2482510127,0.490891,0.009012,0.005058,-0.871160
359,2482526794,0.490920,0.009012,0.005055,-0.871143
360,2482543461,0.490898,0.009015,0.005049,-0.871156
361,2482560128,0.490881,0.009013,0.005059,-0.871166
362,2482576795,0.490886,0.009009,0.005063,-0.871162
363,2482593462,0.490858,0.009018,0.005057,-0.871179
364,2482610129,0.490851,0.009017,0.005067,-0.871183
365,2482626796,0.490839,0.009028,0.005064,-0.871189
366,2482643463,0.490845,0.009021,0.005065,-0.871186
367,2482660130,0.490958,0.009017,0.005061,-0.871122
368,2482676797,0.490802,0.009019,0.005062,-0.871210
369,2482693464,0.490851,0.009017,0.005061,-0.871183
370,2482710131,0.490843,0.009020,0.005064,-0.871187
371,2482726798,0.490782,0.009011,0.005055,-0.871221
372,2482743465,0.490825,0.009001,0.005063,-0.871197
373,2482760132,0.490904,0.009005,0.005058,-0.871153
374,2482776799,0.490834,0.008995,0.005056,-0.871192
375,2482793466,0.490839,0.008993,0.005055,-0.871189
376,2482810133,0.490797,0.008982,0.005059,-0.871213
377,2482826800,0.490769,0.008978,0.005052,-0.871229
378,2482843467,0.490703,0.008978,0.005059,-0.871266
379,2482860134,0.490679,0.008976,0.005059,-0.871279
380,2482876801,0.490746,0.008968,0.005063,-0.871242
381,2482893468,0.490699,0.008975,0.005061,-0.871269
382,2482910135,0.490647,0.008981,0.005061,-0.871298
383,2482926802,0.490659,0.008982,0.005065,-0.871291
384,2482943469,0.490719,0.008977,0.005067,-0.871257
385,2482960136,0.490748,0.008970,0.005070,-0.871241
386,2482976803,0.490855,0.008959,0.005062,-0.871181
387,2482993470,0.490852,0.008965,0.005050,-0.871182
388,2483010137,0.490920,0.008964,0.005046,-0.871144
389,2483026804,0.490892,0.008960,0.005047,-0.871160
390,2483043471,0.490893,0.008952,0.005063,-0.871159
391,2483060138,0.490857,0.008950,0.005062,-0.871179
392,2483076805,0.490823,0.008945,0.005068,-0.871199
393,2483093472,0.490827,0.008947,0.005063,-0.871197
394,2483110139,0.490795,0.008944,0.005059,-0.871215
395,2483126806,0.490697,0.008944,0.005047,-0.871270
396,2483143473,0.490706,0.008949,0.005048,-0.871265
397,2483160140,0.490668,0.008958,0.005041,-0.871286
398,2483176807,0.490667,0.008958,0.005046,-0.871287
399,2483193474,0.490670,0.008957,0.005054,-0.871285
400,2483210141,0.490679,0.008953,0.005044,-0.871280
401,2483226808,0.490705,0.008954,0.005045,-0.871266
402,2483243475,0.490805,0.008947,0.005056,-0.871209
403,2483260142,0.490736,0.008946,0.005066,-0.871248
404,2483276809,0.490792,0.008947,0.005077,-0.871216
405,2483293476,0.490818,0.008954,0.005077,-0.871202
406,2483310143,0.490788,0.008953,0.005079,-0.871219
407,2483326810,0.490780,0.008954,0.005069,-0.871223
408,2483343477,0.490781,0.008957,0.005072,-0.871222
409,2483360144,0.490812,0.008957,0.005060,-0.871205
410,2483376811,0.490749,0.008962,0.005067,-0.871240
411,2483393478,0.490962,0.008953,0.005074,-0.871120
412,2483410145,0.490992,0.008946,0.005065,-0.871104
413,2483426812,0.490966,0.008945,0.005068,-0.871118
414,2483443479,0.490898,0.008947,0.005071,-0.871157
415,2483460146,0.490936,0.008944,0.005056,-0.871135
416,2483476813,0.490906,0.008957,0.005055,-0.871152
417,2483493480,0.490884,0.008961,0.005056,-0.871164
418,2483510147,0.490877,0.008960,0.005054,-0.871169
419,2483526814,0.490888,0.008960,0.005057,-0.871162
420,2483543481,0.490850,0.008961,0.005059,-0.871184
421,2483560148,0.490836,0.008964,0.005056,-0.871192
422,2483576815,0.490880,0.008964,0.005058,-0.871167
423,2483593482,0.490833,0.008963,0.005049,-0.871193
424,2483610149,0.490898,0.008960,0.005046,-0.871157
425,2483626816,0.490898,0.008967,0.005031,-0.871157
426,2483643483,0.490969,0.008962,0.005035,-0.871117
427,2483660150,0.490955,0.008967,0.005030,-0.871125
428,2483676817,0.490989,0.008971,0.005027,-0.871106
429,2483693484,0.490935,0.008976,0.005026,-0.871136
430,2483710151,0.490928,0.008978,0.005033,-0.871140
431,2483726818,0.490994,0.008980,0.005039,-0.871102
432,2483743485,0.491139,0.008971,0.005053,-0.871020
433,2483760152,0.491135,0.008961,0.005048,-0.871023
434,2483776819,0.491119,0.008946,0.005052,-0.871032
435,2483793486,0.491162,0.008931,0.005063,-0.871008
436,2483810153,0.491135,0.008936,0.005056,-0.871023
437,2483826820,0.491135,0.008932,0.005064,-0.871023
438,2483843487,0.491163,0.008929,0.005057,-0.871007
439,2483860154,0.491216,0.008936,0.005059,-0.870978
440,2483876821,0.491178,0.008933,0.005057,-0.870999
441,2483893488,0.491150,0.008944,0.005052,-0.871014
442,2483910155,0.491265,0.008951,0.005052,-0.870950
443,2483926822,0.491317,0.008946,0.005052,-0.870920
444,2483943489,0.491368,0.008940,0.005057,-0.870892
445,2483960156,0.491453,0.008936,0.005064,-0.870843
446,2483976823,0.491481,0.008940,0.005067,-0.870828
447,2483993490,0.491476,0.008957,0.005065,-0.870831
448,2484010157,0.491489,0.008945,0.005068,-0.870823
449,2484026824,0.491508,0.008951,0.005065,-0.870812
450,2484043491,0.491496,0.008946,0.005073,-0.870820
451,2484060158,0.491511,0.008948,0.005067,-0.870811
452,2484076825,0.491494,0.008960,0.005048,-0.870820
453,2484093492,0.491562,0.008955,0.005047,-0.870782
454,2484110159,0.491558,0.008953,0.005045,-0.870784
455,2484126826,0.491548,0.008956,0.005036,-0.870790
456,2484143493,0.491522,0.008947,0.005050,-0.870805
457,2484160160,0.491526,0.008949,0.005046,-0.870803
458,2484176827,0.491520,0.008948,0.005056,-0.870806
459,2484193494,0.491428,0.008950,0.005066,-0.870858
460,2484210161,0.491367,0.008962,0.005078,-0.870892
