sep=,
DeviceTag:,Xsens_DOT_01
FirmwareVersion:,1.4.0
AppVersion:,2020.2.2
Measurement Mode:,Sensor fusion Mode - Orientation(Quaternion)
StartTime: ,2020-11-04_15:24:03_784 CET
© Xsens Technologies B. V. 2005-2020

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
441,2483910155,0.804347,0.003626,-0.003835,0.594136
442,2483926822,0.804334,0.003631,-0.003837,0.594155
443,2483943489,0.804385,0.003639,-0.003826,0.594086
444,2483960156,0.804390,0.003635,-0.003827,0.594079
445,2483976823,0.804346,0.003635,-0.003829,0.594139
446,2483993490,0.804338,0.003632,-0.003829,0.594149
447,2484010157,0.804347,0.003636,-0.003831,0.594137
448,2484026824,0.804395,0.003639,-0.003831,0.594072
449,2484043491,0.804452,0.003632,-0.003833,0.593994
450,2484060158,0.804492,0.003632,-0.003830,0.593940
451,2484076825,0.804492,0.003625,-0.003835,0.593940
452,2484093492,0.804448,0.003620,-0.003843,0.594001
453,2484110159,0.804446,0.003619,-0.003845,0.594003
454,2484126826,0.804439,0.003606,-0.003843,0.594012
455,2484143493,0.804459,0.003606,-0.003838,0.593986
456,2484160160,0.804501,0.003599,-0.003845,0.593929
457,2484176827,0.804507,0.003609,-0.003843,0.593921
458,2484193494,0.804538,0.003616,-0.003839,0.593878
459,2484210161,0.804553,0.003619,-0.003836,0.593858
460,2484226828,0.804567,0.003622,-0.003835,0.593839
461,2484243495,0.804561,0.003617,-0.003829,0.593846
462,2484260162,0.804565,0.003619,-0.003829,0.593842
463,2484276829,0.804548,0.003614,-0.003835,0.593865
464,2484293496,0.804556,0.003620,-0.003830,0.593854
465,2484310163,0.804750,0.003617,-0.003824,0.593591
466,2484326830,0.804781,0.003620,-0.003829,0.593549
467,2484343497,0.804810,0.003613,-0.003823,0.593510
468,2484360164,0.804796,0.003615,-0.003815,0.593528
469,2484376831,0.804781,0.003608,-0.003813,0.593549
470,2484393498,0.804747,0.003603,-0.003817,0.593595
471,2484410165,0.804796,0.003586,-0.003810,0.593529
472,2484426832,0.804747,0.003586,-0.003805,0.593596
473,2484443499,0.804772,0.003593,-0.003807,0.593561
474,2484460166,0.804910,0.003587,-0.003811,0.593374
475,2484476833,0.804954,0.003585,-0.003808,0.593314
476,2484493500,0.804979,0.003668,-0.003834,0.593280
477,2484510167,0.804956,0.003681,-0.003830,0.593311
478,2484526834,0.805007,0.003687,-0.003836,0.593242
479,2484543501,0.804961,0.003671,-0.003824,0.593304
480,2484560168,0.804907,0.003679,-0.003825,0.593377
481,2484576835,0.804946,0.003679,-0.003826,0.593325
